query_ID	subject_ID	%identity	alignment_length	mismatches	gap_opens	q_start	q_end	s_start	s_end	evalue	bit_score
AT1G64280.1	XP_022864634.1	53.273	443	183	9	1	432	1	430	1.65E-150	441
AT1G64280.1	XP_022864635.1	52.144	443	179	9	1	432	1	421	7.54E-145	426
AT1G64280.1	XP_022885568.1	39.469	565	319	12	32	588	30	579	1.75E-118	363
AT1G64280.1	XP_022885567.1	39.469	565	319	12	32	588	30	579	1.75E-118	363
AT1G64280.1	XP_022871874.1	38.313	569	311	10	16	562	10	560	4.14E-104	327
AT1G64280.1	XP_022871873.1	38.313	569	311	10	16	562	10	560	4.14E-104	327
AT1G64280.1	XP_022893317.1	37.39	567	326	9	9	559	4	557	1.09E-98	313
AT1G64280.1	XP_022893316.1	34.528	614	326	10	9	559	4	604	1.67E-89	290
AT1G64280.1	XP_022893315.1	34.528	614	326	10	9	559	4	604	1.67E-89	290
AT1G64280.1	XP_022893314.1	34.528	614	326	10	9	559	4	604	1.67E-89	290
AT1G64280.1	XP_022866883.1	40.852	399	223	6	42	432	31	424	1.32E-78	255
AT1G64280.1	XP_022866882.1	40.852	399	223	6	42	432	31	424	1.32E-78	255
AT1G64280.1	XP_022866662.1	44.053	227	124	2	340	566	32	255	1.09E-50	177
AT1G64280.1	XP_022855206.1	30.387	362	215	7	73	399	32	391	3.51E-38	147
AT1G64280.1	XP_022855205.1	30.387	362	215	7	73	399	32	391	5.08E-38	147
AT1G64280.1	XP_022873299.1	29.444	360	219	6	73	399	32	389	1.29E-35	140
AT1G64280.1	XP_022873298.1	29.444	360	219	6	73	399	32	389	1.29E-35	140
AT1G64280.1	XP_022873297.1	29.444	360	219	6	73	399	32	389	1.29E-35	140
AT1G64280.1	XP_022864530.1	27.564	156	90	5	32	182	1	138	2.71E-09	57.8
AT1G64280.1	XP_022883417.1	34.831	89	56	2	238	324	87	175	3.70E-05	45.8
AT1G64280.1	XP_022879427.1	36	75	47	1	292	366	222	295	3.71E-04	43.9
AT1G64280.1	XP_022879426.1	36	75	47	1	292	366	222	295	3.71E-04	43.9
AT1G64280.1	XP_022863786.1	32.11	109	61	3	270	370	229	332	7.29E-04	42.7
AT1G64280.1	XP_022880887.1	29.412	119	72	4	258	366	93	209	8.36E-04	42.7
AT1G64280.1	XP_022878978.1	30.275	109	70	2	270	372	212	320	0.001	42.7
AT1G64280.1	XP_022878978.1	27.826	115	76	3	244	353	222	334	0.047	37.4
AT1G64280.1	XP_022878978.1	34.043	94	51	4	291	381	170	255	1.4	32.7
AT1G64280.1	XP_022878977.1	30.275	109	70	2	270	372	212	320	0.001	42.7
AT1G64280.1	XP_022878977.1	27.826	115	76	3	244	353	222	334	0.047	37.4
